seed,j_raw,j_disc,rel_error,time_raw,time_disc
2786,17.41157858,15.34993477,0.118406485,0.392836094,0.026001215
1828,17.83615112,16.99851796,0.046962663,0.406209469,0.06099987
1994,17.07591334,15.37882142,0.099385133,0.441364288,0.142702818
7765,23.57285758,21.47396187,0.089038663,0.439893007,0.064991951
9734,22.67273028,21.23021173,0.063623504,0.429636002,0.11999774
4703,18.68776671,17.57704025,0.05943602,0.443814039,0.12100029
2698,22.0651577,19.43168225,0.119349949,0.436163187,0.066361666
8017,20.71173358,18.17640442,0.122410283,0.430912495,0.065998316
7432,23.6471893,22.98961926,0.027807535,0.428190231,0.064993382
5086,18.98340013,17.81032755,0.061794651,0.460165977,0.076903582
,,,0.080821488,0.430918479,0.080995083
,,,0.122410283,,
