seed,j_raw,j_disc,rel_error,time_raw,time_disc
4934,30.72291143,28.26900524,0.079872189,8.584316492,0.13402009
3008,33.44159899,31.1150436,0.069570698,13.55724216,0.772306681
1791,31.52167623,28.69497247,0.089674919,10.55917621,0.32879281
1037,42.93136998,39.66855466,0.076000727,11.94756055,0.694893599
9903,33.93011288,30.81634054,0.091770173,13.96138597,0.461303949
4649,29.82488107,28.17414439,0.055347637,13.04846931,0.455159187
5776,29.18620778,27.18836098,0.068451743,11.6557014,0.846536398
4107,35.02586404,31.6078787,0.097584612,12.91776204,0.764997721
8605,36.26306483,32.94852699,0.091402584,10.35576653,0.862499237
5925,37.144035,33.43649712,0.099815162,12.82364392,0.431534529
,,,0.081949044,11.94110246,0.57520442
,,,0.099815162,,
